1	3	4	5	9	15	16	18	19	21	24	27
-0.191697-0.0345598i	-0.0593391+0.153062i	0.00943632+0.00295173i	0.00947773+0.00287722i	-0.00277739-0.001124i	-0.0018289+0.000223676i	6.8452e-05+1.99602e-05i	6.85083e-05+2.10873e-05i	-0.00919078-0.00603178i	-0.00667039-0.000451041i	0.000282231+0.000138165i	0.000239399+7.97189e-05i	0.207359+0.0841064i	0.207374+0.0841468i	1.76593e-06+1.93057e-06i	2.16139e-06+9.36615e-07i
-0.196536-0.00843908i	-0.0270319+0.160195i	0.00915477+0.00372331i	0.00907282+0.00373904i	-0.00288632-0.000661323i	-0.00159213+0.000448465i	6.67991e-05+2.20549e-05i	6.71951e-05+2.18757e-05i	-0.00985365-0.0044165i	-0.00593799+0.000454842i	0.000262697+9.18146e-05i	0.000187892+0.000104187i	0.220148+0.0430705i	0.220177+0.0431054i	2.54285e-06+1.26447e-06i	1.879e-06+3.65001e-07i
-0.197643+0.0169843i	0.00590252+0.159638i	0.00892247+0.00391654i	0.00897558+0.00396855i	-0.00291092-0.000210496i	-0.00133855+0.000581384i	6.80827e-05+1.83608e-05i	6.75227e-05+1.88045e-05i	-0.0102353-0.00284725i	-0.00516178+0.00104569i	0.000221129+6.5434e-05i	0.000195892+0.000139796i	0.224747+0.00138862i	0.224787+0.0014126i	2.59087e-06+1.69069e-07i	1.43984e-06+2.44423e-07i
-0.195219+0.0411848i	0.0378146+0.151508i	0.00878964+0.00384512i	0.00881062+0.00378386i	-0.00286432+0.000218554i	-0.00109428+0.000626728i	6.65166e-05+1.17908e-05i	6.70037e-05+1.26092e-05i	-0.0104054-0.00130934i	-0.00439739+0.00137952i	0.000186847+7.02543e-05i	0.000240574+0.000130834i	0.221572-0.0394138i	0.221619-0.0394044i	1.92918e-06-6.01375e-07i	1.34373e-06+4.19332e-07i
-0.190127+0.0639757i	0.0672076+0.136154i	0.00852356+0.00335024i	0.00846073+0.00334938i	-0.00275452+0.000613639i	-0.000883909+0.000595093i	6.32893e-05+6.01779e-06i	6.38878e-05+5.93798e-06i	-0.0103526+0.00021695i	-0.00367265+0.00147816i	0.000180958+8.67228e-05i	0.000262749+7.22014e-05i	0.211274-0.0780185i	0.211322-0.0780247i	1.09536e-06-6.78394e-07i	1.60914e-06+3.92779e-07i
-0.18245+0.085113i	0.0925338+0.114012i	0.00777058+0.00284155i	0.00779258+0.00290665i	-0.00259527+0.000970828i	-0.000727345+0.000503267i	5.86777e-05+1.60153e-07i	5.85455e-05+1.21103e-07i	-0.0100408+0.00168688i	-0.00303539+0.00133871i	0.00019802+8.7894e-05i	0.00023145+1.03818e-05i	0.194677-0.113332i	0.194721-0.113353i	6.33671e-07-2.38315e-07i	1.80414e-06-3.39327e-08i
-0.172933+0.104485i	0.1121+0.0859278i	0.00682886+0.00267141i	0.00688442+0.00262098i	-0.00239362+0.00128413i	-0.000639581+0.000371794i	5.09723e-05-3.4908e-06i	5.12723e-05-2.78611e-06i	-0.00948648+0.0030125i	-0.00256853+0.000973793i	0.000213657+6.33936e-05i	0.000169446-8.69444e-06i	0.17272-0.144493i	0.172756-0.144526i	7.25191e-07+2.49544e-07i	1.57889e-06-5.62107e-07i
-0.161587+0.122094i	0.124386+0.0532696i	0.00582135+0.0026895i	0.0057513+0.00265931i	-0.00216277+0.00155261i	-0.000630473+0.000225855i	4.31893e-05-2.09736e-06i	4.41674e-05-2.27617e-06i	-0.00877021+0.00413456i	-0.00236735+0.000446168i	0.00020555+2.63648e-05i	0.00012259+1.89673e-05i	0.146409-0.170864i	0.146435-0.170907i	1.15612e-06+3.99921e-07i	1.03531e-06-7.51958e-07i
-0.149021+0.137756i	0.12814+0.0177988i	0.00459923+0.00306908i	0.00459718+0.00314059i	-0.00190797+0.00177562i	-0.000701096+9.42912e-05i	3.8339e-05+2.43179e-06i	3.82995e-05+1.9148e-06i	-0.00798233+0.0050627i	-0.00249805-0.000125876i	0.000170014+2.44716e-06i	0.000115165+6.15689e-05i	0.116771-0.192027i	0.116784-0.192075i	1.54842e-06+1.3887e-07i	5.96754e-07-4.70004e-07i
-0.135289+0.151705i	0.122452-0.018215i	0.00347869+0.00409763i	0.0035404+0.00408227i	-0.00164059+0.00195287i	-0.000842358+5.22721e-06i	3.59857e-05+8.75974e-06i	3.60647e-05+9.07593e-06i	-0.00716571+0.00584964i	-0.00296397-0.000593933i	0.000124099+1.17254e-05i	0.000135499+8.78326e-05i	0.0848183-0.207755i	0.0848175-0.207806i	1.63894e-06-3.20334e-07i	5.97395e-07+1.31579e-08i
